hand,eye,face,head,arm,Foot,lip
( VB dobj NN ) ( VB nmod NN ) ( NN case IN ),( VB dobj NN ) ( NN nmod NN ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),( JJ advmod RB ) ( JJ nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),( NN case IN ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),( VB dobj NN ) ( VB nmod NN ) ( NN case IN ) ( NN amod JJ ),( VB dobj PRP ) ( VB nmod NN ) ( NN case IN ),( NN nmod:poss NNP ) ( NNP nummod CD ) ( NNP case POS )
( VB compound:prt RP ) ( VB nmod NN ) ( NN case IN ),( JJ cop VB ) ( JJ nmod NN ) ( NN case IN ),( VB nmod NN ) ( NN case IN ) ( NN amod JJ ),( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN nmod NN ) ( NN case IN ),( NN dep NN ) ( NN cc CC ) ( NN conj NN ),( VB compound:prt RP ) ( VB nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),-
( VBN nsubjpass NN ) ( NN nmod:poss NN ) ( NN case POS ) ( VBN auxpass VBN ),( VB advmod RB ) ( VB dobj NN ) ( NN nmod NN ) ( NN case IN ),( VB dobj NN ) ( NN amod JJ ),( VB dobj NN ) ( VB nmod NN ) ( NN case IN ),( NN nmod:poss NN ) ( NN amod JJ ) ( NN case POS ),( VB compound:prt RP ) ( VB nmod NN ) ( NN case IN ) ( NN amod JJ ),-
( VB dobj NN ) ( NN amod JJ ),( NN cop VB ) ( NN case IN ) ( NN amod JJ ),( VB compound:prt RP ) ( VB nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),( VB dobj NN ) ( VB nmod NN ) ( NN case TO ) ( NN nmod:poss NN ) ( NN case POS ),( NN cop VB ) ( NN compound:prt RP ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ),( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VB advmod RB ),-
( VB dobj NN ),( NN nmod:poss NN ) ( NN amod JJ ) ( NN case POS ),( VB dobj NN ) ( VB nmod NN ) ( NN case IN ) ( NN nmod:poss NN ) ( NN case POS ),( VB dobj NN ) ( NN nmod:poss NN ) ( NN case POS ) ( VB advmod RB ),( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN amod JJ ) ( VB xcomp VB ) ( VB mark TO ) ( VB dobj NN ),( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ),-
( NN case IN ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),( NN cop VB ) ( NN nmod NN ) ( NN case IN ) ( NN amod JJ ),( NN cop VB ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ),( VB dobj NN ) ( NN amod JJ ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),-,( VB nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),-
( NN nmod:poss NN ) ( NN case POS ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),( NN cop VB ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss NN ) ( NN case POS ),( VBN nsubj NN ),( VB dobj NN ) ( NN nmod:poss PRP$ ) ( VB compound:prt RP ),-,( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN nmod NN ) ( NN case IN ),-
( JJ nsubj NN ) ( NN nmod:poss PRP$ ),( VB nmod NN ) ( NN case IN ) ( VB nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN advmod JJ ),-,( VB dobj NN ) ( VB advmod RB ),-,( NN case IN ) ( NN compound NN ) ( NN cc CC ) ( NN conj NN ),-
( VB nmod NN ) ( NN case IN ) ( NN compound NN ) ( NN cc CC ) ( NN conj NN ),( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN nmod NN ) ( NN case IN ),-,( NN case IN ) ( NN nmod NN ) ( NN case TO ),-,( VB dobj NN ) ( NN nummod CD ) ( NN amod JJ ),-
-,( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),-,( NN compound NN ) ( NN nmod NN ) ( NN case IN ),-,-,-
-,( JJ nsubj NN ) ( NN nmod:poss PRP$ ),-,-,-,-,-
