lip,mouth,face,hand,neck,arm,leg,foot,head,body,cheek,jaw,fingertip,eye,eyebrow,throat,chin,forehead,knee,thigh,shoulder,belly,stomach,tooth,muscle,palm,chest,toe,tongue,palm,eyelid,brow
1.0,0.3333333333333333,0.14285714285714285,0.1111111111111111,1.0,0.2,1.0,0.1111111111111111,0.16666666666666666,,,,,0.09090909090909091,,0.5,,,,,0.25,1.0,0.5,0.3333333333333333,1.0,,,1.0,0.5,,,
,0.3333333333333333,0.14285714285714285,0.1111111111111111,,0.2,,0.1111111111111111,0.16666666666666666,,,,,0.09090909090909091,,0.5,,,,,0.25,,0.5,0.3333333333333333,,,,,0.5,,,
,0.3333333333333333,0.14285714285714285,0.1111111111111111,,0.2,,0.1111111111111111,0.08333333333333333,,,,,0.09090909090909091,,,,,,,0.25,,,0.3333333333333333,,,,,,,,
,,0.14285714285714285,0.1111111111111111,,0.2,,0.1111111111111111,0.08333333333333333,,,,,0.09090909090909091,,,,,,,0.25,,,,,,,,,,,
,,0.14285714285714285,0.1111111111111111,,0.2,,0.1111111111111111,0.08333333333333333,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,
,,0.14285714285714285,0.1111111111111111,,,,0.1111111111111111,0.08333333333333333,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,
,,0.14285714285714285,0.1111111111111111,,,,0.1111111111111111,0.08333333333333333,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,
,,,0.1111111111111111,,,,0.1111111111111111,0.08333333333333333,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,
,,,0.1111111111111111,,,,0.1111111111111111,0.08333333333333333,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,
